State,Date,Hourly Demand Met (in MW),,,,
Madhya Pradesh - 2024,01-Jan 12am,11116.43,,,,
Madhya Pradesh - 2024,01-Jan 1am,10713.61,,,,
Madhya Pradesh - 2024,01-Jan 2am,10211.59,,,,
Madhya Pradesh - 2024,01-Jan 3am,10310.55,,,,
Madhya Pradesh - 2024,01-Jan 4am,10470.74,,,,
Madhya Pradesh - 2024,01-Jan 5am,10845.95,,,,
Madhya Pradesh - 2024,01-Jan 6am,11900.31,,,,
Madhya Pradesh - 2024,01-Jan 7am,13804.31,,,,
Madhya Pradesh - 2024,01-Jan 8am,15070.58,,,,
Madhya Pradesh - 2024,01-Jan 9am,16320.48,,,,
Madhya Pradesh - 2024,01-Jan 10am,17007.31,,,,
Madhya Pradesh - 2024,01-Jan 11am,17078.48,,,,
Madhya Pradesh - 2024,01-Jan 12pm,16759.39,,,,
Madhya Pradesh - 2024,01-Jan 1pm,16717.28,,,,
Madhya Pradesh - 2024,01-Jan 2pm,16357.68,,,,
Madhya Pradesh - 2024,01-Jan 3pm,16206.19,,,,
Madhya Pradesh - 2024,01-Jan 4pm,15702.14,,,,
Madhya Pradesh - 2024,01-Jan 5pm,14774.01,,,,
Madhya Pradesh - 2024,01-Jan 6pm,13721.77,,,,
Madhya Pradesh - 2024,01-Jan 7pm,12658.17,,,,
Madhya Pradesh - 2024,01-Jan 8pm,11193.39,,,,
Madhya Pradesh - 2024,01-Jan 9pm,10321.17,,,,
Madhya Pradesh - 2024,01-Jan 10pm,10566.87,,,,
Madhya Pradesh - 2024,01-Jan 11pm,11075.64,,,,
Madhya Pradesh - 2024,02-Jan 12am,10757.63,,,,
Madhya Pradesh - 2024,02-Jan 1am,10316.04,,,,
Madhya Pradesh - 2024,02-Jan 2am,9729.84,,,,
Madhya Pradesh - 2024,02-Jan 3am,9720.81,,,,
Madhya Pradesh - 2024,02-Jan 4am,9837.17,,,,
Madhya Pradesh - 2024,02-Jan 5am,10149.86,,,,
Madhya Pradesh - 2024,02-Jan 6am,11099.67,,,,
Madhya Pradesh - 2024,02-Jan 7am,13071.82,,,,
Madhya Pradesh - 2024,02-Jan 8am,14583.32,,,,
Madhya Pradesh - 2024,02-Jan 9am,15943.2,,,,
Madhya Pradesh - 2024,02-Jan 10am,16648,,,,
Madhya Pradesh - 2024,02-Jan 11am,16793.43,,,,
Madhya Pradesh - 2024,02-Jan 12pm,16444.34,,,,
Madhya Pradesh - 2024,02-Jan 1pm,16370.47,,,,
Madhya Pradesh - 2024,02-Jan 2pm,16193.08,,,,
Madhya Pradesh - 2024,02-Jan 3pm,16165.98,,,,
Madhya Pradesh - 2024,02-Jan 4pm,15752.47,,,,
Madhya Pradesh - 2024,02-Jan 5pm,15034.71,,,,
Madhya Pradesh - 2024,02-Jan 6pm,14252.66,,,,
Madhya Pradesh - 2024,02-Jan 7pm,13217.66,,,,
Madhya Pradesh - 2024,02-Jan 8pm,11583.99,,,,
Madhya Pradesh - 2024,02-Jan 9pm,10623.88,,,,
Madhya Pradesh - 2024,02-Jan 10pm,10884.76,,,,
Madhya Pradesh - 2024,02-Jan 11pm,11271.3,,,,
Madhya Pradesh - 2024,03-Jan 12am,10832.69,,,,
Madhya Pradesh - 2024,03-Jan 1am,10265.71,,,,
Madhya Pradesh - 2024,03-Jan 2am,9602.9,,,,
Madhya Pradesh - 2024,03-Jan 3am,9543.23,,,,
Madhya Pradesh - 2024,03-Jan 4am,9503.88,,,,
Madhya Pradesh - 2024,03-Jan 5am,9788.61,,,,
Madhya Pradesh - 2024,03-Jan 6am,10731.09,,,,
Madhya Pradesh - 2024,03-Jan 7am,12642.52,,,,
Madhya Pradesh - 2024,03-Jan 8am,14185.23,,,,
Madhya Pradesh - 2024,03-Jan 9am,15414.48,,,,
Madhya Pradesh - 2024,03-Jan 10am,16057.96,,,,
Madhya Pradesh - 2024,03-Jan 11am,16086.77,,,,
Madhya Pradesh - 2024,03-Jan 12pm,15595.52,,,,
Madhya Pradesh - 2024,03-Jan 1pm,15591.28,,,,
Madhya Pradesh - 2024,03-Jan 2pm,15476.03,,,,
Madhya Pradesh - 2024,03-Jan 3pm,15531.91,,,,
Madhya Pradesh - 2024,03-Jan 4pm,15171.75,,,,
Madhya Pradesh - 2024,03-Jan 5pm,14789.57,,,,
Madhya Pradesh - 2024,03-Jan 6pm,14067.19,,,,
Madhya Pradesh - 2024,03-Jan 7pm,13064.09,,,,
Madhya Pradesh - 2024,03-Jan 8pm,11605.76,,,,
Madhya Pradesh - 2024,03-Jan 9pm,10493.74,,,,
Madhya Pradesh - 2024,03-Jan 10pm,10555.7,,,,
Madhya Pradesh - 2024,03-Jan 11pm,10806.59,,,,
Madhya Pradesh - 2024,04-Jan 12am,10493.53,,,,
Madhya Pradesh - 2024,04-Jan 1am,10080.08,,,,
Madhya Pradesh - 2024,04-Jan 2am,9596.17,,,,
Madhya Pradesh - 2024,04-Jan 3am,9623.99,,,,
Madhya Pradesh - 2024,04-Jan 4am,9778.7,,,,
Madhya Pradesh - 2024,04-Jan 5am,10089.42,,,,
Madhya Pradesh - 2024,04-Jan 6am,11113.41,,,,
Madhya Pradesh - 2024,04-Jan 7am,12929.85,,,,
Madhya Pradesh - 2024,04-Jan 8am,14560.55,,,,
Madhya Pradesh - 2024,04-Jan 9am,15591.09,,,,
Madhya Pradesh - 2024,04-Jan 10am,16018.37,,,,
Madhya Pradesh - 2024,04-Jan 11am,15786.43,,,,
Madhya Pradesh - 2024,04-Jan 12pm,15212.45,,,,
Madhya Pradesh - 2024,04-Jan 1pm,15121.95,,,,
Madhya Pradesh - 2024,04-Jan 2pm,14927.2,,,,
Madhya Pradesh - 2024,04-Jan 3pm,15167.61,,,,
Madhya Pradesh - 2024,04-Jan 4pm,15008.27,,,,
Madhya Pradesh - 2024,04-Jan 5pm,14409.4,,,,
Madhya Pradesh - 2024,04-Jan 6pm,13694.45,,,,
Madhya Pradesh - 2024,04-Jan 7pm,12732.91,,,,
Madhya Pradesh - 2024,04-Jan 8pm,11325.73,,,,
Madhya Pradesh - 2024,04-Jan 9pm,10427.28,,,,
Madhya Pradesh - 2024,04-Jan 10pm,10361.86,,,,
Madhya Pradesh - 2024,04-Jan 11pm,10390.93,,,,
Madhya Pradesh - 2024,05-Jan 12am,10011.61,,,,
Madhya Pradesh - 2024,05-Jan 1am,9596.58,,,,
Madhya Pradesh - 2024,05-Jan 2am,9154.22,,,,
Madhya Pradesh - 2024,05-Jan 3am,9240.97,,,,
Madhya Pradesh - 2024,05-Jan 4am,9348.65,,,,
Madhya Pradesh - 2024,05-Jan 5am,9632.24,,,,
Madhya Pradesh - 2024,05-Jan 6am,10706.67,,,,
Madhya Pradesh - 2024,05-Jan 7am,12872.86,,,,
Madhya Pradesh - 2024,05-Jan 8am,14410.17,,,,
Madhya Pradesh - 2024,05-Jan 9am,15441.37,,,,
Madhya Pradesh - 2024,05-Jan 10am,15877.16,,,,
Madhya Pradesh - 2024,05-Jan 11am,15361.45,,,,
Madhya Pradesh - 2024,05-Jan 12pm,15009.69,,,,
Madhya Pradesh - 2024,05-Jan 1pm,14777.08,,,,
Madhya Pradesh - 2024,05-Jan 2pm,14515.26,,,,
Madhya Pradesh - 2024,05-Jan 3pm,14341.93,,,,
Madhya Pradesh - 2024,05-Jan 4pm,13973.93,,,,
Madhya Pradesh - 2024,05-Jan 5pm,13583.21,,,,
Madhya Pradesh - 2024,05-Jan 6pm,12962.13,,,,
Madhya Pradesh - 2024,05-Jan 7pm,12039.21,,,,
Madhya Pradesh - 2024,05-Jan 8pm,10656.97,,,,
Madhya Pradesh - 2024,05-Jan 9pm,9658.36,,,,
Madhya Pradesh - 2024,05-Jan 10pm,9379.88,,,,
Madhya Pradesh - 2024,05-Jan 11pm,9272.14,,,,
Madhya Pradesh - 2024,06-Jan 12am,8720.26,,,,
Madhya Pradesh - 2024,06-Jan 1am,8260.52,,,,
Madhya Pradesh - 2024,06-Jan 2am,7922.77,,,,
Madhya Pradesh - 2024,06-Jan 3am,7908.9,,,,
Madhya Pradesh - 2024,06-Jan 4am,7976.32,,,,
Madhya Pradesh - 2024,06-Jan 5am,8339.5,,,,
Madhya Pradesh - 2024,06-Jan 6am,9546.54,,,,
Madhya Pradesh - 2024,06-Jan 7am,11621.49,,,,
Madhya Pradesh - 2024,06-Jan 8am,13062.71,,,,
Madhya Pradesh - 2024,06-Jan 9am,14172.36,,,,
Madhya Pradesh - 2024,06-Jan 10am,14559.93,,,,
Madhya Pradesh - 2024,06-Jan 11am,14119.36,,,,
Madhya Pradesh - 2024,06-Jan 12pm,13681.2,,,,
Madhya Pradesh - 2024,06-Jan 1pm,13590.28,,,,
Madhya Pradesh - 2024,06-Jan 2pm,13482.17,,,,
Madhya Pradesh - 2024,06-Jan 3pm,13464.04,,,,
Madhya Pradesh - 2024,06-Jan 4pm,13347.2,,,,
Madhya Pradesh - 2024,06-Jan 5pm,13052.91,,,,
Madhya Pradesh - 2024,06-Jan 6pm,12939.71,,,,
Madhya Pradesh - 2024,06-Jan 7pm,12046.62,,,,
Madhya Pradesh - 2024,06-Jan 8pm,10753.21,,,,
Madhya Pradesh - 2024,06-Jan 9pm,9768,,,,
Madhya Pradesh - 2024,06-Jan 10pm,9671.45,,,,
Madhya Pradesh - 2024,06-Jan 11pm,9612.91,,,,
Madhya Pradesh - 2024,07-Jan 12am,9226.8,,,,
Madhya Pradesh - 2024,07-Jan 1am,8792.72,,,,
Madhya Pradesh - 2024,07-Jan 2am,8460.04,,,,
Madhya Pradesh - 2024,07-Jan 3am,8503.08,,,,
Madhya Pradesh - 2024,07-Jan 4am,8579.41,,,,
Madhya Pradesh - 2024,07-Jan 5am,8927.04,,,,
Madhya Pradesh - 2024,07-Jan 6am,9935.82,,,,
Madhya Pradesh - 2024,07-Jan 7am,11846.38,,,,
Madhya Pradesh - 2024,07-Jan 8am,13415.08,,,,
Madhya Pradesh - 2024,07-Jan 9am,14467.25,,,,
Madhya Pradesh - 2024,07-Jan 10am,14851.31,,,,
Madhya Pradesh - 2024,07-Jan 11am,14414.97,,,,
Madhya Pradesh - 2024,07-Jan 12pm,13854.96,,,,
Madhya Pradesh - 2024,07-Jan 1pm,13589.37,,,,
Madhya Pradesh - 2024,07-Jan 2pm,13172.17,,,,
Madhya Pradesh - 2024,07-Jan 3pm,13072.4,,,,
Madhya Pradesh - 2024,07-Jan 4pm,12988.94,,,,
Madhya Pradesh - 2024,07-Jan 5pm,12683.58,,,,
